Reaction_ID,lb,ub
HMR_2202,0,5.23878686
HMR_2208,0,5.23878686
HMR_2212,0,5.23878686
HMR_2217,0,5.23878686
HMR_2260,0,5.23878686
HMR_2264,0,5.23878686
HMR_2268,0,5.23878686
HMR_2270,0,6.760620161
HMR_2150,0,6.884964165
HMR_6398,0,2.827819025
HMR_6399,0,2.827819025
HMR_6401,0,0.35614381
HMR_6402,0,0.35614381
HMR_6403,0,3.699329526
HMR_2478,0,5.23878686
HMR_2489,0,5.23878686
HMR_2499,0,5.23878686
HMR_2516,0,5.23878686
HMR_2524,0,5.23878686
HMR_2533,0,5.23878686
HMR_2541,0,5.23878686
HMR_2544,0,0.344828497
HMR_2561,0,0.344828497
HMR_2565,0,0.344828497
HMR_2568,0,0.344828497
HMR_2572,0,0.344828497
HMR_2578,0,0.344828497
HMR_2586,0,0.344828497
HMR_2387,0,5.23878686
HMR_2397,0,5.23878686
HMR_2417,0,5.23878686
HMR_2426,0,5.23878686
HMR_2434,0,5.23878686
HMR_0958,0,0.344828497
HMR_0959,0,0.344828497
HMR_0961,0,0.565597176
HMR_0964,0,0.565597176
HMR_0967,0,0.565597176
HMR_0971,0,0.344828497
HMR_0976,0,0.565597176
HMR_0998,0,0.344828497
HMR_0999,0,0.344828497
HMR_1000,0,0.344828497
HMR_1013,0,0.344828497
HMR_1014,0,0.344828497
HMR_1015,0,0.344828497
HMR_1016,0,0.344828497
HMR_1017,0,0.344828497
HMR_1018,0,0.344828497
HMR_1029,0,0.565597176
HMR_1030,0,0.565597176
HMR_1033,0,0.565597176
HMR_1034,0,0.565597176
HMR_1037,0,0.565597176
HMR_1039,0,0.565597176
HMR_1062,0,0.565597176
HMR_1063,0,0.565597176
HMR_1064,0,0.565597176
HMR_1073,0,0.565597176
HMR_1075,0,0.344828497
HMR_1077,0,0.344828497
HMR_1079,0,2.592158002
HMR_1081,0,0.22650853
HMR_8545,0,0.333423734
HMR_8550,0,0.22650853
HMR_8554,0,0.070389328
HMR_8555,0,0
HMR_8556,0,0.042644337
HMR_3475,0,4.297925053
HMR_2825,0,2.419538892
HMR_2829,0,2.419538892
HMR_2830,0,4.822220272
HMR_2833,0,2.419538892
HMR_2834,0,4.822220272
HMR_0002,0,0.526068812
HMR_0449,0,2.107687869
HMR_7588,0,4.315421316
HMR_3484,0,3.890446693
HMR_3488,0,3.890446693
HMR_3511,0,2.797012978
HMR_3156,0,2.097610797
HMR_3202,0,2.097610797
HMR_3526,0,2.797012978
HMR_1573,0,0
HMR_6908,0,4.98550043
HMR_7167,0,4.709290636
HMR_7168,0,4.012568674
HMR_7170,0,4.527946099
HMR_9722,0,8.836776255
HMR_1920,0,1.963474124
HMR_1928,0,0.111031312
HMR_1929,0,0.111031312
HMR_1932,0,0.111031312
HMR_1933,0,0
HMR_1934,0,0.111031312
HMR_1935,0,0.111031312
HMR_1940,0,0.286881148
HMR_1943,0,0
HMR_1948,0,0.286881148
HMR_1990,0,0.286881148
HMR_1991,0,0
HMR_1992,0,0.286881148
HMR_2005,0,0.286881148
HMR_2007,0,0.286881148
HMR_2010,0,0
HMR_2011,0,0
HMR_6793,0,0.124328135
HMR_6794,0,0.124328135
HMR_6795,0,0.124328135
HMR_6796,0,0.124328135
HMR_7928,0,0.286881148
HMR_7932,0,0.286881148
HMR_7934,0,0
HMR_7935,0,0.111031312
HMR_7936,0,0
HMR_7937,0,0
HMR_7938,0,0
HMR_7945,0,1.963474124
HMR_7948,0,1.963474124
HMR_7950,0,1.963474124
HMR_7952,0,1.963474124
HMR_7970,0,3.631104282
HMR_7974,0,0
HMR_7976,0,7.981224762
HMR_7978,0,0
HMR_1944,0,0
HMR_1945,0,0
HMR_1952,0,1.014355293
HMR_1953,0,1.963474124
HMR_1958,0,0
HMR_1962,0,1.014355293
HMR_1963,0,1.963474124
HMR_1969,0,0
HMR_1477,0,5.302319051
HMR_1478,0,5.302319051
HMR_1479,0,5.302319051
HMR_1509,0,3.631104282
HMR_1516,0,4.85847839
HMR_1557,0,4.85847839
HMR_1558,0,4.85847839
HMR_1536,0,5.302319051
HMR_1538,0,5.302319051
HMR_1539,0,5.302319051
HMR_1547,0,3.631104282
HMR_1552,0,3.631104282
HMR_1437,0,6.349436052
HMR_1531,0,5.457134594
HMR_1576,0,4.061776198
HMR_2046,0,0.23878686
HMR_2047,0,0.23878686
HMR_2049,0,0.23878686
HMR_2050,0,0.23878686
HMR_2051,0,0.23878686
HMR_2055,0,0.23878686
HMR_2056,0,0.23878686
HMR_2057,0,0.23878686
HMR_0748,0,3.701549057
HMR_0760,0,3.82984956
HMR_0761,0,5.459103696
HMR_0779,0,3.701549057
HMR_8147,0,0.189033824
HMR_8148,0,4.135042286
HMR_8149,0,0.855989697
HMR_8150,0,2.448900951
HMR_8151,0,0.189033824
HMR_8152,0,0.189033824
HMR_8156,0,1.063502942
HMR_8159,0,1.063502942
HMR_8162,0,0.150559677
HMR_8165,0,2.724650272
HMR_8166,0,1.077242999
HMR_8169,0,1.063502942
HMR_8170,0,1.063502942
