Component,g/L,reaction,lb,ub
-1.0 Dodecanedioic Acid <-->,0,EX_dodecanac[e],0,1000
-1.0 (9E)-octadecenoylcarnitine <-->,0,EX_elaidcrn[e],0,1000
-1.0 N-formimino-L-glutamate <-->,0,EX_forglu[e],0,1000
-1.0 methylmalonate <-->,0,EX_HC00900[e],0,1000
-1.0 Heptadecanoyl Thanolamide (C17:0) <-->,0,EX_hepdeceth[e],0,1000
"-1.0 Hexadecenoyl Ethanolamide, C16:1-Ethanolamide (Delta 9) <-->",0,EX_hexdeceeth[e],0,1000
-1.0 Hexadecanediocacid <-->,0,EX_hexdiac[e],0,1000
-1.0 homogentisate <-->,0,EX_hgentis[e],0,1000
-1.0 Homocarnosine <-->,0,EX_hmcarn[e],0,1000
-1.0 Homocitrulline <-->,0,EX_hmcr[e],0,1000
-1.0 hexanoyl-CoA <-->,0,EX_hxcoa[e],0,1000
-1.0 20-COOH-LTB4 <-->,0,EX_leuktrB4wcooh[e],0,1000
-1.0 20-OH-LTB4 <-->,0,EX_leuktrB4woh[e],0,1000
-1.0 Linoleoyl Ethanolamide <-->,0,EX_lineth[e],0,1000
-1.0 linoleic-carnitine <-->,0,EX_lnlccrn[e],0,1000
-1.0 L-pipecolate <-->,0,EX_Lpipecol[e],0,1000
-1.0 lathosterol <-->,0,EX_lthstrl[e],0,1000
-1.0 1-Arachidonoyl Glycerol <-->,0,EX_magarachi_hs[e],0,1000
-1.0 1-Linoleoylglycerol <-->,0,EX_maglinl_hs[e],0,1000
-1.0 1-Oleoylglycerol <-->,0,EX_magole_hs[e],0,1000
-1.0 1-Palmitoylglycerol <-->,0,EX_magpalm_hs[e],0,1000
-1.0 1-Stearoylglycerol <-->,0,EX_magste_hs[e],0,1000
-1.0 (R)-mevalonate <-->,0,EX_mev_R[e],0,1000
-1.0 inositol-1-phosphate <-->,0,EX_mi1p_D[e],0,1000
-1.0 N-acetyl-L-aspartate <-->,0,EX_Nacasp[e],0,1000
-1.0 N-(omega)-hydroxyarginine <-->,0,EX_nwharg[e],0,1000
-1.0 Oleoyl Ethanolamide <-->,0,EX_oleth[e],0,1000
-1.0 1-Arachidonoylglycerophosphoinositol <-->,0,EX_pailar_hs[e],0,1000
-1.0 1-Palmitoylglycerophosphoinositol <-->,0,EX_pailpalm_hs[e],0,1000
-1.0 1-Stearoylglycerophosphoinositol <-->,0,EX_pailste_hs[e],0,1000
-1.0 2-Linoleoylglycerophosphocholine <-->,0,EX_pchol2linl_hs[e],0,1000
-1.0 2-Oleoylglycerophosphocholine <-->,0,EX_pchol2ole_hs[e],0,1000
-1.0 2-Palmitoylglycerophosphocholine <-->,0,EX_pchol2palm_hs[e],0,1000
-1.0 2-Stearoylglycerophosphocholine <-->,0,EX_pchol2ste_hs[e],0,1000
-1.0 1-Arachidonoyl-Glycero-3-Phosphocholine <-->,0,EX_pcholar_hs[e],0,1000
-1.0 1-Docosahexaenoylglycerophosphocholine <-->,0,EX_pcholdoc_hs[e],0,1000
"-1.0 1-Eicosadienoylglycerophosphocholine (Delta 11,14) <-->",0,EX_pcholeic_hs[e],0,1000
"-1.0 1-Eicosatrienoylglycerophosphocholine (Delta 11, 14, 17) <-->",0,EX_pcholet_hs[e],0,1000
-1.0 1-Heptadecanoylglycerophosphocholine <-->,0,EX_pcholhep_hs[e],0,1000
"-1.0 1-Linoleoylglycerophosphocholine (Delta 9,12) <-->",0,EX_pchollinl_hs[e],0,1000
-1.0 1-Myristoylglycerophosphocholine <-->,0,EX_pcholmyr_hs[e],0,1000
"-1.0 1-Pentadecanoylglycerophosphocholine, Sn1-Lpc (15:0) <-->",0,EX_pcholn15_hs[e],0,1000
"-1.0 1-Octadeca-Trienoylglycerophosphocholine, Sn1-Lpc (18:3, Delta 9, 12, 15) <-->",0,EX_pcholn183_hs[e],0,1000
"-1.0 1-Octadeca-Trienoylglycerophosphocholine, Sn1-Lpc (18:3, Delta 6, 9, 12) <-->",0,EX_pcholn1836_hs[e],0,1000
"-1.0 1-Nonadecanoylglycerophosphocholine, Sn1-Lpc (19:0) <-->",0,EX_pcholn19_hs[e],0,1000
"-1.0 1-Eicosenoylglycerophosphocholine (Delta 11) ,Sn1-Lpc (20:1) <-->",0,EX_pcholn201_hs[e],0,1000
"-1.0 1-Dihomo-Linolenoylglycerophosphocholine (20:3, Delta 8, 11, 14), Lysopc A C20:3 <-->",0,EX_pcholn203_hs[e],0,1000
"-1.0 1-Eicosatetraenoylglycerophosphocholine (Delta 8, 11, 14, 17), Sn1-Lpc (20:4) <-->",0,EX_pcholn204_hs[e],0,1000
"-1.0 1-Eicosapentenoylglycerophosphocholine (Delta 5, 8, 11, 14, 17), Sn1-Lpc (20:5) <-->",0,EX_pcholn205_hs[e],0,1000
"-1.0 1-Docosatetraenoylglycerophosphocholine (Delta 7, 10, 13, 16), Sn1-Lpc (22:4) <-->",0,EX_pcholn224_hs[e],0,1000
"-1.0 1-Docosapentenoylglycerophosphocholine (Delta 7, 10, 13, 16, 19), Sn1-Lpc (22:5)-W3 <-->",0,EX_pcholn225_hs[e],0,1000
"-1.0 1-Docosapentenoylglycerophosphocholine (Delta 4, 7, 10, 13, 16), Sn1-Lpc (22:5)-W6 <-->",0,EX_pcholn2254_hs[e],0,1000
"-1.0 1-Docosahexenoylglycerophosphocholine (Delta 4, 7, 10, 13, 16, 19), Sn1-Lpc (22:6) <-->",0,EX_pcholn226_hs[e],0,1000
"-1.0 1-Lignocericylglycerophosphocholine (24:0), Lysopc A C24 <-->",0,EX_pcholn24_hs[e],0,1000
-1.0 Lysopc A C26:1 (Delta 5) <-->,0,EX_pcholn261_hs[e],0,1000
-1.0 Lysopc A C28:0 <-->,0,EX_pcholn28_hs[e],0,1000
-1.0 Lysopc A C28:1 (Delta 5) <-->,0,EX_pcholn281_hs[e],0,1000
-1.0 1-Oleoylglycerophosphocholine (Delta 9) <-->,0,EX_pcholole_hs[e],0,1000
-1.0 1-Palmitoylglycerophosphocholine <-->,0,EX_pcholpalm_hs[e],0,1000
-1.0 1-Palmitoleoylglycerophosphocholine (Delta 9) <-->,0,EX_pcholpalme_hs[e],0,1000
-1.0 1-Stearoylglycerophosphocholine <-->,0,EX_pcholste_hs[e],0,1000
-1.0 L-hydroxylysine <-->,0,EX_pcollg5hlys[e],0,1000
-1.0 1-Didecanoylglycerophosphoethanolamine (C12:0 Pe) <-->,0,EX_pe12_hs[e],0,1000
-1.0 1-Tridecanoylglycerophosphoethanolamine (C13:0 Pe) <-->,0,EX_pe13_hs[e],0,1000
-1.0 1-Myristoylglycerophosphoethanolamine (C14:0 Pe) <-->,0,EX_pe14_hs[e],0,1000
-1.0 1-Pentadecanoylglycerophosphoethanolamine (C15:0 Pe) <-->,0,EX_pe15_hs[e],0,1000
"-1.0 1-Hexadecenoylglycerophosphoethanolamine (C16:1 Pe, Delta 9) <-->",0,EX_pe161_hs[e],0,1000
-1.0 1-Heptadecanoylglycerophosphoethanolamine (C17:0 Pe) <-->,0,EX_pe17_hs[e],0,1000
"-1.0 1-Eicosatrienoylglycerophosphoethanolamine (Delta 11, 14, 17), Lpe (20:3) <-->",0,EX_pe203_hs[e],0,1000
"-1.0 1-Docosatetraenoyglycerophosphoethanolamine (22:4, Delta 7, 10, 13, 16) <-->",0,EX_pe224_hs[e],0,1000
"-1.0 1-Docosahexenoylglyceroethanolamine (Delta 4, 7, 10, 13, 16, 19), Lpe (22:6) <-->",0,EX_pe226_hs[e],0,1000
-1.0 2-Linoleoylglycerophosphoethanolamine <-->,0,EX_pe2linl_hs[e],0,1000
-1.0 1-Arachidonoyl-Sn-Glycero-3-Phosphoethanolamine <-->,0,EX_pear_hs[e],0,1000
"-1.0 1-Dihomo-Linolenoylglycerophosphoethanolamine (20:3, Delta 8, 11, 14) <-->",0,EX_pedh203_hs[e],0,1000
"-1.0 1-Linoleoylglycerophosphoethanolamine (Delta 9,12) <-->",0,EX_pelinl_hs[e],0,1000
-1.0 Pentadecanoyl Thanolamide (C15:0) <-->,0,EX_pendecaeth[e],0,1000
-1.0 1-Oleoylglycerophosphoethanolamine (Delta 9) <-->,0,EX_peole_hs[e],0,1000
-1.0 1-Palmitoylglycerophosphoethanolamine <-->,0,EX_pepalm_hs[e],0,1000
-1.0 1-Stearoylglycerophosphoethanolamine <-->,0,EX_peste_hs[e],0,1000
-1.0 Palmitoylethanolamide <-->,0,EX_pmeth[e],0,1000
-1.0 saccharopine <-->,0,EX_saccrp_L[e],0,1000
-1.0 Sebacicacid <-->,0,EX_sebacid[e],0,1000
"-1.0 Sm (D18:0/24:1), Sphingomyelin <-->",0,EX_sphmyln180241_hs[e],0,1000
"-1.0 Sm (D18:1/14:0), Sphingomyelin <-->",0,EX_sphmyln18114_hs[e],0,1000
"-1.0 Sm (D18:1/15:0), Sphingomyelin <-->",0,EX_sphmyln18115_hs[e],0,1000
"-1.0 Sm (D18:1/16:0), Sphingomyelin <-->",0,EX_sphmyln18116_hs[e],0,1000
"-1.0 Sm (D18:1/16:1), Sphingomyelin <-->",0,EX_sphmyln181161_hs[e],0,1000
"-1.0 Sm (D18:1/17:0), Sphingomyelin <-->",0,EX_sphmyln18117_hs[e],0,1000
"-1.0 Sm (D18:1/18:0), Sphingomyelin <-->",0,EX_sphmyln18118_hs[e],0,1000
"-1.0 Sm (D18:1/18:1), Sphingomyelin <-->",0,EX_sphmyln181181_hs[e],0,1000
"-1.0 Sm (D18:1/20:0), Sphingomyelin <-->",0,EX_sphmyln18120_hs[e],0,1000
"-1.0 Sm (D18:1/20:1), Sphingomyelin <-->",0,EX_sphmyln181201_hs[e],0,1000
"-1.0 Sm (D18:1/21:0), Sphingomyelin <-->",0,EX_sphmyln18121_hs[e],0,1000
"-1.0 Sm (D18:1/22:0), Sphingomyelin <-->",0,EX_sphmyln18122_hs[e],0,1000
"-1.0 Sm (D18:1/22:1), Sphingomyelin <-->",0,EX_sphmyln181221_hs[e],0,1000
"-1.0 Sm (D18:1/23:0), Sphingomyelin <-->",0,EX_sphmyln18123_hs[e],0,1000
"-1.0 Sm (D18:0/24:0), Sphingomyelin <-->",0,EX_sphmyln1824_hs[e],0,1000
"-1.0 Sm (D18:0/25:0), Sphingomyelin <-->",0,EX_sphmyln1825_hs[e],0,1000
-1.0 Stearoyl Ethanolamide <-->,0,EX_steeth[e],0,1000
-1.0 Suberic Acid <-->,0,EX_subeac[e],0,1000
"-1.0 Cia-5,8, Tetradecadienoic Acid <-->",0,EX_tetdeca511ac[e],0,1000
"-1.0 C14:0-Ethanolamide, Tetradecanoyl Ethanolamide <-->",0,EX_tetdecaeth[e],0,1000
-1.0 threonate <-->,0,EX_thrnt[e],0,1000
"-1.0 N6,N6,N6-trimethyl-L-lysine <-->",0,EX_tmlys[e],0,1000
-1.0 Tridecanoyl Thanolamide (C13:0) <-->,0,EX_trideceth[e],0,1000
-1.0 tetradecenoylcarnitine(5) <-->,0,EX_ttdcrn[e],0,1000
-1.0 Thromboxane B2 <-->,0,EX_txb2[e],0,1000
-1.0 urocanate <-->,0,EX_urcan[e],0,1000
-1.0 10-HETE <-->,0,EX_wharachd[e],0,1000
"-1.0 1-Vaccenoyl-Cholesterol, Cholesterol-Ester (18:1, Delta 11) <-->",0,EX_xolest181_hs[e],0,1000
"-1.0 1-Linoleoyl-Cholesterol, Cholesterol-Ester (18:2, Delta 9, 12) <-->",0,EX_xolest182_hs[e],0,1000
"-1.0 1-Gamma-Linolenoyl-Cholesterol, Cholesterol-Ester (18:3, Delta 6, 9, 12) <-->",0,EX_xolest183_hs[e],0,1000
"-1.0 Cholesteryl Arachidonate, Cholesterol-Ester (20:4, Delta 5,8,11,14) <-->",0,EX_xolest204_hs[e],0,1000
"-1.0 1-Timnodnoyl-Cholesterol, Cholesterol-Ester (20:5, Delta 5,8,11,14,17) <-->",0,EX_xolest205_hs[e],0,1000
"-1.0 Cholesteryl Docosahexanoate, Cholesterol-Ester (22:6, Delta 4,7,10,13,16,19) <-->",0,EX_xolest226_hs[e],0,1000
-1.0 Acetyl Isoleucine (Chemspider Id: 9964364) <-->,0,EX_acile_L[e],0,1000
-1.0 N-Acetylleucine <-->,0,EX_acleu_L[e],0,1000
-1.0 Acetylhomoserine <-->,0,EX_achom_L[e],0,1000
-1.0 Phenylacetylglycine_phacgly <-->,0,EX_phacgly[e],0,1000
-1.0 3-(3-Hydroxy-Phenyl)Propionate <-->,0,EX_3hpppn[e],0,1000
-1.0 3-methoxytyramine <-->,0,EX_3moxtyr[e],0,1000
-1.0 5-aminolevulinate <-->,0,EX_5aop[e],0,1000
-1.0 D-Arabitol <-->,0,EX_abt_D[e],0,1000
-1.0 N-acetyl-L-glutamate <-->,0,EX_acglu[e],0,1000
-1.0 allantoin <-->,0,EX_alltn[e],0,1000
-1.0 cis-gondoic acid <-->,0,EX_CE2510[e],0,1000
"-1.0 (8Z,11Z,14Z)-Eicosatrienoic Acid <-->",0,EX_CE2516[e],0,1000
-1.0 lauric acid <-->,0,EX_ddca[e],0,1000
-1.0 Glycerol 2-Phosphate <-->,0,EX_glyc2p[e],0,1000
-1.0 glycolate <-->,0,EX_glyclt[e],0,1000
-1.0 L-cysteate <-->,0,EX_Lcyst[e],0,1000
-1.0 OAA <-->,0,EX_oaa[e],0,1000
-1.0 phenylacetate <-->,0,EX_pac[e],0,1000
-1.0 Phenyllactate <-->,0,EX_phlac[e],0,1000
-1.0 3-phosphoserine <-->,0,EX_pser_L[e],0,1000
-1.0 (9E)-tetradecenoic acid <-->,0,EX_ttdcea[e],0,1000
-1.0 3-Hydroxycinnamic Acid <-->,0,EX_3hcinnm[e],0,1000
-1.0 3-Hydroxyphenylpropionic Acid (3-Hppa) <-->,0,EX_3hppa[e],0,1000
-1.0 hippurate <-->,0,EX_bgly[e],0,1000
-1.0 Phenylacetylglycine <-->,0,EX_pheacgly[e],0,1000
-1.0 benzoate <-->,0,EX_bz[e],0,1000
-1.0 P-Cresol <-->,0,EX_pcresol[e],0,1000
-1.0 P-Cresol Sulfate <-->,0,EX_pcs[e],0,1000
-1.0 Indoxyl Sulfate <-->,0,EX_inds[e],0,1000
-1.0 normetanephrine <-->,0,EX_normete_L[e],0,1000
-1.0 16alpha-hydroxyestrone <-->,0,EX_C05300[e],0,1000
-1.0 retinal <-->,0,EX_retinal[e],0,1000
-1.0 Maltotetraose <-->,0,EX_maltttr[e],0,1000
-1.0 L-Prolinylglycine <-->,0,EX_progly[e],0,1000
-1.0 dihydrobiopterin <-->,0,EX_dhbpt[e],0,1000
-1.0 tetrahydrobiopterin <-->,0,EX_thbpt[e],0,1000
-1.0 Alanyl-Arginyl-Cysteine <-->,0,EX_alaargcys[e],0,1000
-1.0 Alanyl-Arginyl-Glycine <-->,0,EX_alaarggly[e],0,1000
-1.0 Alanyl-Asparaginyl-Leucine <-->,0,EX_alaasnleu[e],0,1000
-1.0 Alanyl-Glycyl-Lysine <-->,0,EX_alaglylys[e],0,1000
-1.0 Alanyl-Histidyl-Alanine <-->,0,EX_alahisala[e],0,1000
-1.0 Alanyl-Lysine-Threonine <-->,0,EX_alalysthr[e],0,1000
-1.0 Arginyl-Alanyl-Alanine <-->,0,EX_argalaala[e],0,1000
-1.0 Arginyl-Alanine-Phenylalanine <-->,0,EX_argalaphe[e],0,1000
-1.0 Arginyl-Alanyl-Threonine <-->,0,EX_argalathr[e],0,1000
-1.0 Arginyl-Arginine <-->,0,EX_argarg[e],0,1000
-1.0 Arginyl-Arginyl-Lysine <-->,0,EX_argarglys[e],0,1000
-1.0 Arginyl-Arginyl-Metheonine <-->,0,EX_argargmet[e],0,1000
-1.0 Arginyl-Cystinyl-Glycine <-->,0,EX_argcysgly[e],0,1000
-1.0 Arginyl-Cystinyl-Serine <-->,0,EX_argcysser[e],0,1000
-1.0 Arginyl-Glutamyl-Glutamate <-->,0,EX_arggluglu[e],0,1000
-1.0 Arginyl-Glutamyl-Proline <-->,0,EX_argglupro[e],0,1000
-1.0 Arginyl-Glycyl-Glycine <-->,0,EX_argglygly[e],0,1000
-1.0 Arginyl-Histidyl-Threonine <-->,0,EX_arghisthr[e],0,1000
-1.0 Arginyl-Leucyl-Phenylalanine <-->,0,EX_argleuphe[e],0,1000
-1.0 Arginyl-Lysyl-Aspartate <-->,0,EX_arglysasp[e],0,1000
-1.0 Arginyl-Phenylalanine-Arginine <-->,0,EX_argphearg[e],0,1000
-1.0 Arginyl-Prolyl-Methionine <-->,0,EX_argpromet[e],0,1000
-1.0 Arginyl-Prolyl-Threonine <-->,0,EX_argprothr[e],0,1000
-1.0 Arginyl-Seryl-Serine <-->,0,EX_argserser[e],0,1000
-1.0 Argtyrval <-->,0,EX_argtyrval[e],0,1000
-1.0 Arginyl-Valyl-Cysteine <-->,0,EX_argvalcys[e],0,1000
-1.0 Arginyl-Valyl-Tryptophan <-->,0,EX_argvaltrp[e],0,1000
-1.0 Asparaginyl-Asparaginyl-Arginine <-->,0,EX_asnasnarg[e],0,1000
-1.0 Asparaginyl-Cysteinyl-Cysteine <-->,0,EX_asncyscys[e],0,1000
-1.0 Asparaginyl-Methionyl-Proline <-->,0,EX_asnmetpro[e],0,1000
-1.0 Asparaginyl-Phenylalanyl-Aspartate <-->,0,EX_asnpheasp[e],0,1000
-1.0 Asparaginyl-Phenylalanyl-Cysteine <-->,0,EX_asnphecys[e],0,1000
-1.0 Asparaginyl-Tyrosyl-Glycine <-->,0,EX_asntyrgly[e],0,1000
-1.0 Asparaginyl-Tyrosyl-Phenylalanine <-->,0,EX_asntyrphe[e],0,1000
-1.0 Asparaginyl-Tyrosyl-Threonine <-->,0,EX_asntyrthr[e],0,1000
-1.0 Asparaginyl-Alanyl-Arginine <-->,0,EX_aspalaarg[e],0,1000
-1.0 Aspartyl-Asparaginyl-Glutamate <-->,0,EX_aspasnglu[e],0,1000
-1.0 Aspartyl-Glutamate <-->,0,EX_aspglu[e],0,1000
-1.0 Aspartyl-Glutamyl-Proline <-->,0,EX_aspglupro[e],0,1000
-1.0 Aspartyl-Glutamyl-Tryptophan <-->,0,EX_aspglutrp[e],0,1000
-1.0 Aspartyl-Histidyl-Cysteine <-->,0,EX_asphiscys[e],0,1000
-1.0 Aspartyl-Histidyl-Proline <-->,0,EX_asphispro[e],0,1000
-1.0 Aspartyl-Lysyl-Glutamate <-->,0,EX_asplysglu[e],0,1000
-1.0 Aspartyl-Lysyl-Histidine <-->,0,EX_asplyshis[e],0,1000
-1.0 Aspartyl-Methionyl-Aspartate <-->,0,EX_aspmetasp[e],0,1000
-1.0 Aspartyl-Prolyl-Lysine <-->,0,EX_aspprolys[e],0,1000
-1.0 Aspartyl-Valyl-Asparagine <-->,0,EX_aspvalasn[e],0,1000
-1.0 Cystyl-Asparaginyl-Methionine <-->,0,EX_cysasnmet[e],0,1000
-1.0 Cystyl-Aspartyl-Phenylalanine <-->,0,EX_cysaspphe[e],0,1000
-1.0 Cystyl-Cysteine <-->,0,EX_cyscys[e],0,1000
-1.0 Cystyl-Glutaminyl-Methionine <-->,0,EX_cysglnmet[e],0,1000
-1.0 Cystyl-Glutamyl-Histidine <-->,0,EX_cysgluhis[e],0,1000
-1.0 Cystyl-Glutamyl-Tryptophan <-->,0,EX_cysglutrp[e],0,1000
-1.0 Cystyl-Leucyl-Threonine <-->,0,EX_cysleuthr[e],0,1000
-1.0 Cystyl-Seryl-Methionine <-->,0,EX_cyssermet[e],0,1000
-1.0 Cystyl-Tyrosyl-Asparagine <-->,0,EX_cystyrasn[e],0,1000
-1.0 Glutaminyl-Asparaginyl-Glutamine <-->,0,EX_glnasngln[e],0,1000
-1.0 Glutaminyl-Histidyl-Histidine <-->,0,EX_glnhishis[e],0,1000
-1.0 Glutaminyl-Histidyl-Lysine <-->,0,EX_glnhislys[e],0,1000
-1.0 Glutaminyl-Lysyl-Lysine <-->,0,EX_glnlyslys[e],0,1000
-1.0 Glutaminyl-Lysyl-Tryptophan <-->,0,EX_glnlystrp[e],0,1000
-1.0 Glutaminyl-Prolyl-Glutamate <-->,0,EX_glnproglu[e],0,1000
-1.0 Glutaminyl-Tryptophanyl-Glutamate <-->,0,EX_glntrpglu[e],0,1000
-1.0 Glutaminyl-Tyrosyl-Leucine <-->,0,EX_glntyrleu[e],0,1000
-1.0 Glutaminyl-Arginyl-Leucine <-->,0,EX_gluargleu[e],0,1000
-1.0 Glutaminyl-Asparaginyl-Leucine <-->,0,EX_gluasnleu[e],0,1000
-1.0 Glutamyl-Glutamate <-->,0,EX_gluglu[e],0,1000
-1.0 Glutamyl-Isoleucyl-Lysine <-->,0,EX_gluilelys[e],0,1000
-1.0 Glutamyl-Leucine <-->,0,EX_gluleu[e],0,1000
-1.0 Glutamyl-Methionine <-->,0,EX_glumet[e],0,1000
-1.0 Glutamyl-Methioninyl-Histidine <-->,0,EX_glumethis[e],0,1000
-1.0 Glutamyl-Threonine <-->,0,EX_gluthr[e],0,1000
-1.0 Glutamyl-Threonyl-Lysine <-->,0,EX_gluthrlys[e],0,1000
-1.0 Glutamyl-Tryptophanyl-Alanine <-->,0,EX_glutrpala[e],0,1000
-1.0 Glycyl-Histidyl-Asparagine <-->,0,EX_glyhisasn[e],0,1000
-1.0 Glycyl-Histidyl-Lysine <-->,0,EX_glyhislys[e],0,1000
-1.0 Glycyl-Lysyl-Cysteine <-->,0,EX_glylyscys[e],0,1000
-1.0 Glycyl-Lysyl-Phenylalanine <-->,0,EX_glylysphe[e],0,1000
-1.0 Glycyl-Tyrosyl-Lysine <-->,0,EX_glytyrlys[e],0,1000
-1.0 Glycyl-Valyl-Histidine <-->,0,EX_glyvalhis[e],0,1000
-1.0 Histidyl-Arginyl-Cysteine <-->,0,EX_hisargcys[e],0,1000
-1.0 Histidyl-Arginyl-Serine <-->,0,EX_hisargser[e],0,1000
-1.0 Histidyl-Aspartate <-->,0,EX_hisasp[e],0,1000
-1.0 Histidyl-Cystyl-Cysteine <-->,0,EX_hiscyscys[e],0,1000
-1.0 Histidyl-Glutaminyl-Alanine <-->,0,EX_hisglnala[e],0,1000
-1.0 Histidyl-Glutamate <-->,0,EX_hisglu[e],0,1000
-1.0 Histidyl-Glutamyl-Glutamine <-->,0,EX_hisglugln[e],0,1000
-1.0 Histidyl-Lysyl-Lysine <-->,0,EX_hisglylys[e],0,1000
-1.0 Histidyl-Histidyl-Lysine <-->,0,EX_hishislys[e],0,1000
-1.0 Histidyl-Lysyl-Alanine <-->,0,EX_hislysala[e],0,1000
-1.0 Histidyl-Lysyl-Glutamate <-->,0,EX_hislysglu[e],0,1000
-1.0 Histidyl-Lysyl-Isoleucine <-->,0,EX_hislysile[e],0,1000
-1.0 Histidyl-Lysyl-Threonine <-->,0,EX_hislysthr[e],0,1000
-1.0 Histidyl-Lysyl-Valine <-->,0,EX_hislysval[e],0,1000
-1.0 Histidyl-Methionine <-->,0,EX_hismet[e],0,1000
-1.0 Histidyl-Methionyl-Glutamine <-->,0,EX_hismetgln[e],0,1000
-1.0 Histidyl-Phenylalanyl-Arginine <-->,0,EX_hisphearg[e],0,1000
-1.0 Histidyl-Prolyl-Lysine <-->,0,EX_hisprolys[e],0,1000
-1.0 Histidyl-Tryptophanyl-Histidine <-->,0,EX_histrphis[e],0,1000
-1.0 Isoleucyl-Arginyl-Isoleucine <-->,0,EX_ileargile[e],0,1000
-1.0 Isoleucyl-Asparaginyl-Histidine <-->,0,EX_ileasnhis[e],0,1000
-1.0 Isolecyl-Aspartate <-->,0,EX_ileasp[e],0,1000
-1.0 Isolecyl-Glutaminyl-Glutamate <-->,0,EX_ileglnglu[e],0,1000
-1.0 Isolecyl-Glycyl-Arginine <-->,0,EX_ileglyarg[e],0,1000
-1.0 Isolecyl-Prolyl-Lysine <-->,0,EX_ileprolys[e],0,1000
-1.0 Isolecyl-Seryl-Arginine <-->,0,EX_ileserarg[e],0,1000
-1.0 Isolecyl-Tryptophanyl-Tyrosine <-->,0,EX_iletrptyr[e],0,1000
-1.0 Leucyl-Alanyl-Arginine <-->,0,EX_leualaarg[e],0,1000
-1.0 Leucyl-Asparaginyl-Aspartate <-->,0,EX_leuasnasp[e],0,1000
-1.0 Leucyl-Aspartyl-Lysine <-->,0,EX_leuasplys[e],0,1000
-1.0 Leucyl-Leucyl-Tryptophan <-->,0,EX_leuleutrp[e],0,1000
-1.0 Leucyl-Proline <-->,0,EX_leupro[e],0,1000
-1.0 Leucyl-Prolyl-Arginine <-->,0,EX_leuproarg[e],0,1000
-1.0 Leucyl-Seryl-Tryptophan <-->,0,EX_leusertrp[e],0,1000
-1.0 Leucyl-Tryptophan <-->,0,EX_leutrp[e],0,1000
-1.0 Leucyl-Tryptophanyl-Arginine <-->,0,EX_leutrparg[e],0,1000
-1.0 Leucyl-Tyrosyl-Tyrosine <-->,0,EX_leutyrtyr[e],0,1000
-1.0 Leucyl-Valine <-->,0,EX_leuval[e],0,1000
-1.0 Lysyl-Arginyl-Leucine <-->,0,EX_lysargleu[e],0,1000
-1.0 Lysyl-Cysteinyl-Histidine <-->,0,EX_lyscyshis[e],0,1000
-1.0 Lysyl-Glutaminyl-Phenylalanine <-->,0,EX_lysglnphe[e],0,1000
-1.0 Lysyl-Glutamyl-Glutamate <-->,0,EX_lysgluglu[e],0,1000
-1.0 Lysyl-Lysyl-Lysine <-->,0,EX_lyslyslys[e],0,1000
-1.0 Lysyl-Phenylalanyl-Isoleucine <-->,0,EX_lyspheile[e],0,1000
-1.0 Lysyl-Tryptophanyl-Arginine <-->,0,EX_lystrparg[e],0,1000
-1.0 Lysyl-Tyrosyl-Isoleucine <-->,0,EX_lystyrile[e],0,1000
-1.0 Lysyl-Valyl-Phenylalanine <-->,0,EX_lysvalphe[e],0,1000
-1.0 Lysyl-Valyl-Tryptophan <-->,0,EX_lysvaltrp[e],0,1000
-1.0 Methionyl-Arginyl-Leucine <-->,0,EX_metargleu[e],0,1000
-1.0 Methionyl-Asparaginyl-Tyrosine <-->,0,EX_metasntyr[e],0,1000
-1.0 Methionyl-Glutaminyl-Tyrosine <-->,0,EX_metglntyr[e],0,1000
-1.0 Methionyl-Glycyl-Arginine <-->,0,EX_metglyarg[e],0,1000
-1.0 Methionyl-Histidyl-Lysine <-->,0,EX_methislys[e],0,1000
-1.0 Methionyl-Methionyl-Isoleucine <-->,0,EX_metmetile[e],0,1000
-1.0 Methionyl-Phenylalanyl-Arginine <-->,0,EX_metphearg[e],0,1000
-1.0 Methionyl-Tryptophanyl-Phenylalanine <-->,0,EX_mettrpphe[e],0,1000
-1.0 Phenylalanyl-Asparaginyl-Methionine <-->,0,EX_pheasnmet[e],0,1000
-1.0 Phenylalanyl-Aspartate <-->,0,EX_pheasp[e],0,1000
-1.0 Phenylalanyl-Glutaminyl-Phenylalanine <-->,0,EX_pheglnphe[e],0,1000
-1.0 Phenylalanyl-Leucine <-->,0,EX_pheleu[e],0,1000
-1.0 Phenylalanyl-Leucyl-Aspartate <-->,0,EX_pheleuasp[e],0,1000
-1.0 Phenylalanyl-Leucyl-Histidine <-->,0,EX_pheleuhis[e],0,1000
-1.0 Phenylalanyl-Lysyl-Alanine <-->,0,EX_phelysala[e],0,1000
-1.0 Phenylalanyl-Lysyl-Proline <-->,0,EX_phelyspro[e],0,1000
-1.0 Phenylalanyl-Phenylalanine <-->,0,EX_phephe[e],0,1000
-1.0 Phenylalanyl-Phenylalaninyl-Asparagine <-->,0,EX_phepheasn[e],0,1000
-1.0 Phenylalanyl-Phenylalaninyl-Threonine <-->,0,EX_phephethr[e],0,1000
-1.0 Phenylalanyl-Prolyl-Arginine <-->,0,EX_pheproarg[e],0,1000
-1.0 Phenylalanyl-Seryl-Tryptophan <-->,0,EX_phesertrp[e],0,1000
-1.0 Phenylalanyl-Threonyl-Lysine <-->,0,EX_phethrlys[e],0,1000
